gene_id,log2FoldChange,pvalue,padj,Regulation
YLR274W,-1.198788,7.320691e-5,4.812545e-4,Downregulated
YLR275W,-1.269853,9.988018e-5,6.30093e-4,Downregulated
YLR303W,-1.138521,0.005066457,0.01680729,Downregulated
YLR304C,-1.37506,5.258289e-9,1.12831e-7,Downregulated
YLR306W,-1.043742,0.001729059,0.006877863,Downregulated
YLR348C,-1.357761,6.073504e-8,1.0057590000000001e-06,Downregulated
YLR351C,-1.197536,3.532227e-6,3.466246e-5,Downregulated
YLR355C,-1.819451,1.831714e-8,3.510209e-7,Downregulated
YLR358C,-1.09852,0.008768055,0.02629554,Downregulated
YLR359W,-1.345631,0.001143447,0.004808947,Downregulated
YLR389C,-1.132615,7.505246e-10,1.984447e-8,Downregulated
YLR393W,-1.199992,7.255924e-4,0.00331218,Downregulated
YLR422W,-1.735634,1.6965299999999999e-25,3.6923770000000006e-23,Downregulated
YLR440C,-1.061799,2.320872e-5,1.735386e-4,Downregulated
YLR450W,-1.093743,1.056666e-9,2.694277e-8,Downregulated
YLR456W,-1.249198,1.279348e-4,7.703897e-4,Downregulated
YLR459W,-2.692232,3.405052e-13,1.957584e-11,Downregulated
YML003W,-1.158276,5.293329e-4,0.002543971,Downregulated
YML005W,-1.27895,2.685598e-6,2.741379e-5,Downregulated
YML042W,-1.321639,6.194639e-4,0.002910573,Downregulated
YML052W,-1.60835,3.803736e-6,3.691078e-5,Downregulated
YML066C,-1.48261,3.706637e-4,0.001879222,Downregulated
YML075C,-1.242257,1.42848e-4,8.443413e-4,Downregulated
YML083C,-2.129809,2.037432e-9,4.919096e-8,Downregulated
YML086C,-1.353163,8.040526e-6,6.989866e-5,Downregulated
YML087C,-5.162804,1.170813e-35,4.7566209999999995e-33,Downregulated
YML120C,-1.17059,4.257671e-4,0.002100911,Downregulated
YML121W,-1.286906,7.782102e-5,5.072099e-4,Downregulated
YML123C,-5.910289,3.574823e-38,1.815414e-35,Downregulated
YML126C,-1.44699,7.472804e-6,6.590343e-5,Downregulated
YML127W,-1.529608,2.30697e-7,3.231879e-6,Downregulated
YMR008C,-1.791348,1.768495e-9,4.310885e-8,Downregulated
YMR013C,-1.023267,4.313522e-4,0.002121598,Downregulated
YMR015C,-1.762221,2.501845e-5,1.857034e-4,Downregulated
YMR054W,-1.1257490000000001,1.024455e-8,2.074097e-7,Downregulated
YMR058W,-1.21187,7.744043e-4,0.003500749,Downregulated
YMR062C,-1.010593,7.366233e-4,0.003357504,Downregulated
YMR069W,-3.259597,7.050277e-13,3.836106e-11,Downregulated
YMR074C,-1.201336,3.972331e-4,0.001985839,Downregulated
YMR081C,-1.112226,8.007883e-4,0.003593523,Downregulated
YMR094W,-1.535016,5.072138e-11,1.823588e-9,Downregulated
YMR105W-A,-1.446947,0.00226619,0.008625961,Downregulated
YMR119W,-1.644384,3.366467e-12,1.602754e-10,Downregulated
YMR120C,-2.205556,2.211813e-5,1.664306e-4,Downregulated
YMR150C,-2.764468,2.953274e-9,6.765885e-8,Downregulated
YMR154C,-1.180895,1.465492e-7,2.188899e-6,Downregulated
YMR178W,-1.055597,4.868409e-4,0.002365876,Downregulated
YMR182C,-2.060155,3.959577e-7,5.2342e-6,Downregulated
YMR187C,-1.471816,9.368103e-6,7.973355e-5,Downregulated
YMR203W,-1.732733,9.100271e-6,7.767094e-5,Downregulated
YMR205C,-1.177542,1.14298e-6,1.2995e-5,Downregulated
YMR206W,-1.306641,8.163723e-5,5.275687e-4,Downregulated
YMR220W,-1.060314,8.485183e-5,5.477617e-4,Downregulated
YMR221C,-1.382056,4.786449e-7,6.13556e-6,Downregulated
YMR237W,-1.090546,2.032792e-5,1.560181e-4,Downregulated
YMR241W,-1.167485,7.31093e-6,6.485125e-5,Downregulated
YMR251W,-1.466668,4.644912e-4,0.002271757,Downregulated
YMR253C,-1.051832,8.363139e-6,7.208624e-5,Downregulated
YMR258C,-1.425326,1.874907e-7,2.694737e-6,Downregulated
YMR261C,-1.690949,2.719851e-11,1.044182e-9,Downregulated
YMR262W,-1.008445,8.184269e-6,7.085509e-5,Downregulated
YMR264W,-1.022466,6.17849e-6,5.611284e-5,Downregulated
YMR271C,-1.662251,6.729578e-5,4.496716e-4,Downregulated
YMR272C,-1.523993,5.762203e-7,7.225281e-6,Downregulated
YMR300C,-2.547659,4.912151e-7,6.262478e-6,Downregulated
YMR303C,-2.508472,1.061125e-10,3.434348e-9,Downregulated
YMR315W,-1.007486,8.37805e-6,7.211276e-5,Downregulated
YMR319C,-2.491205,1.4113189999999998e-26,3.1854e-24,Downregulated
YMR320W,-1.341236,1.662679e-4,9.553752e-4,Downregulated
YNCB0003W,-1.126458,0.001140669,0.004808947,Downregulated
YNCB0009C,-4.671686,2.3806329999999997e-30,7.2537889999999995e-28,Downregulated
YNCB0010W,-1.38009,2.037701e-11,8.223677e-10,Downregulated
YNCB0011C,-5.435627,1.7571599999999998e-28,5.099111e-26,Downregulated
YNCB0013W,-1.708158,7.899963e-5,5.132449e-4,Downregulated
YNCC0004C,-1.429156,1.18835e-5,9.747201e-5,Downregulated
YNCC0007C,-3.534629,0.001132604,0.004803123,Downregulated
YNCC0012C,-3.819205,4.834505e-20,7.014636e-18,Downregulated
YNCD0001W,-21.73054,6.452767e-10,1.732298e-8,Downregulated
YNCD0006W,-23.5338,5.157708e-18,6.044437e-16,Downregulated
YNCD0007C,-2.98883,3.174295e-10,9.167846e-9,Downregulated
YNCD0008W,-1.922748,7.346585e-8,1.184394e-6,Downregulated
YNCD0009W,-10.56676,6.516766e-9,1.37893e-7,Downregulated
YNCD0016C,-1.978576,3.975502e-6,3.821247e-5,Downregulated
YNCD0024C,-1.196926,0.00328242,0.01179999,Downregulated
YNCD0032C,-3.33016,1.27442e-27,3.376659e-25,Downregulated
YNCD0034C,-2.282663,2.945698e-9,6.765885e-8,Downregulated
YNCE0024W,-1.270555,6.761715e-8,1.104716e-6,Downregulated
YNCE0028C,-3.892558,1.134226e-14,8.228537e-13,Downregulated
YNCF0003C,-2.351987,2.905136e-11,1.099621e-9,Downregulated
YNCF0011C,-22.82255,6.950954e-9,1.465713e-7,Downregulated
YNCG0002C,-3.706182,0.00105527,0.004535131,Downregulated
YNCG0005W,-25.32855,2.313759e-12,1.137101e-10,Downregulated
YNCG0007C,-3.536499,0.001131713,0.004802689,Downregulated
YNCG0009C,-22.29742,2.372685e-8,4.462698e-7,Downregulated
YNCG0013W,-1.063958,1.071614e-4,6.697864e-4,Downregulated
YNCG0024W,-3.336264,6.116969999999999e-21,9.558158e-19,Downregulated
YNCG0028W,-1.688887,6.888248e-8,1.119386e-6,Downregulated
