gene_id,log2FoldChange,pvalue,padj,Regulation
YKL049C,0.8489508,9.379596e-5,5.980328e-4,Upregulated
YKL050C,1.577486,5.087134e-11,1.823588e-9,Upregulated
YKL052C,0.7351774,0.007913106,0.02425677,Upregulated
YKL054C,0.9810278,2.165716e-7,3.076427e-6,Upregulated
YKL059C,0.5274738,8.431982e-4,0.003758924,Upregulated
YKL064W,0.6622038,0.001053617,0.004531224,Upregulated
YKL065W-A,1.969285,1.73814e-5,1.354505e-4,Upregulated
YKL070W,1.524132,1.198048e-4,7.322875e-4,Upregulated
YKL071W,1.042422,0.01182034,0.03372317,Upregulated
YKL089W,0.6545123,0.002552367,0.009548265,Upregulated
YKL096W-A,3.16765,1.007737e-6,1.167519e-5,Upregulated
YKL099C,0.6809582,0.005620306,0.01822786,Upregulated
YKL101W,0.7888187,7.896431e-4,0.003556604,Upregulated
YKL104C,0.6270295,0.002533217,0.009488274,Upregulated
YKL110C,0.5324126,9.306491e-4,0.004071339,Upregulated
YKL112W,0.6583778,0.01610544,0.04326859,Upregulated
YKL113C,1.413528,8.361732e-8,1.333937e-6,Upregulated
YKL121W,0.6134829,3.322328e-4,0.001715785,Upregulated
YKL139W,1.070892,3.08941e-7,4.202425e-6,Upregulated
YKL143W,0.5957555,0.01881309,0.04912768,Upregulated
YKL149C,0.5456319,0.006095199,0.01949824,Upregulated
YKL155C,0.9002418,2.997529e-6,2.999498e-5,Upregulated
YKL167C,0.804996,0.009280427,0.02760123,Upregulated
YKL172W,0.6589637,0.01497973,0.0408258,Upregulated
YKL185W,0.828714,0.003844714,0.0133569,Upregulated
YKL201C,1.170561,1.296173e-9,3.250567e-8,Upregulated
YKL216W,0.7462246,0.001431105,0.005864815,Upregulated
YKR002W,0.9242209,4.499828e-9,9.724096e-8,Upregulated
YKR006C,0.9169016,1.233302e-4,7.500743e-4,Upregulated
YKR010C,0.6059127,0.001932867,0.007531262,Upregulated
YKR015C,1.913132,1.389293e-9,3.469817e-8,Upregulated
YKR019C,0.860847,1.394179e-5,1.126808e-4,Upregulated
YKR022C,0.5957898,8.175219e-4,0.003655157,Upregulated
YKR023W,0.5233713,7.114965e-4,0.00325515,Upregulated
YKR024C,0.5800039,0.009455591,0.02802645,Upregulated
YKR029C,0.6347572,3.983875e-7,5.254921e-6,Upregulated
YKR037C,1.27571,2.296144e-7,3.224125e-6,Upregulated
YKR041W,0.8730773,0.001112499,0.004734337,Upregulated
YKR050W,1.197907,2.072768e-8,3.947327e-7,Upregulated
YKR054C,0.6904504,7.990364e-5,5.185653e-4,Upregulated
YKR056W,0.9018882,7.054863e-5,4.65285e-4,Upregulated
YKR060W,0.8452756,0.005268351,0.01731679,Upregulated
YKR061W,0.6844403,0.005580997,0.01811001,Upregulated
YKR062W,0.8924804,1.421733e-7,2.144564e-6,Upregulated
YKR071C,0.7284135,1.231162e-5,1.007074e-4,Upregulated
YKR072C,0.5215838,0.005465274,0.01781989,Upregulated
YKR081C,1.161395,1.697261e-5,1.327742e-4,Upregulated
YKR092C,0.7317798,7.185076e-4,0.00328476,Upregulated
YKR095W,0.5030523,3.812827e-4,0.001921867,Upregulated
YKR096W,0.5324119,0.004751511,0.01597116,Upregulated
YLL006W-A,1.613975,1.999746e-6,2.112292e-5,Upregulated
YLL008W,0.7665966,0.007664813,0.02360251,Upregulated
YLL013C,0.5291384,0.00276777,0.0102223,Upregulated
YLL018C,0.9367564,4.41185e-6,4.189957e-5,Upregulated
YLL021W,0.5364727,0.009376897,0.02782026,Upregulated
YLL022C,1.331589,3.843309e-8,6.848282e-7,Upregulated
YLL030C,1.458467,0.001585637,0.006369724,Upregulated
YLL034C,0.774301,1.351652e-4,8.059655e-4,Upregulated
YLL036C,1.032454,5.885631e-10,1.606609e-8,Upregulated
YLL046C,2.858937,2.2275370000000003e-17,2.34045e-15,Upregulated
YLR002C,0.850482,2.167157e-4,0.001186582,Upregulated
YLR003C,1.024479,4.285589e-7,5.592372e-6,Upregulated
YLR004C,0.8813059,0.00254793,0.009537522,Upregulated
YLR014C,0.5147781,0.01600355,0.04303869,Upregulated
YLR015W,0.8583229,3.761583e-6,3.655994e-5,Upregulated
YLR016C,0.7859592,1.597536e-4,9.23661e-4,Upregulated
YLR017W,0.9287094,0.01132732,0.03253,Upregulated
YLR021W,0.8722402,0.009613481,0.02838399,Upregulated
YLR025W,1.043097,8.148816e-11,2.758827e-9,Upregulated
YLR026C,0.7818452,6.685817e-4,0.003098355,Upregulated
YLR032W,1.421568,1.406468e-11,5.791228e-10,Upregulated
YLR033W,0.6731053,1.423924e-4,8.424651e-4,Upregulated
YLR045C,0.6830411,3.641077e-4,0.001852291,Upregulated
YLR068W,0.9204661,8.952865e-4,0.003944957,Upregulated
YLR086W,0.6459832,1.819753e-4,0.001025862,Upregulated
YLR095C,0.6970967,2.900321e-4,0.001525461,Upregulated
YLR096W,0.6283137,2.6731e-4,0.00142394,Upregulated
YLR103C,1.112148,1.117674e-4,6.946242e-4,Upregulated
YLR106C,1.105241,9.125563e-7,1.077736e-5,Upregulated
YLR109W,0.9609134,0.001923449,0.007499359,Upregulated
YLR121C,2.055319,4.077986e-8,7.182441e-7,Upregulated
YLR135W,0.6909674,9.626381e-4,0.004187235,Upregulated
YLR145W,0.6662251,0.003518268,0.0124076,Upregulated
YLR151C,1.311515,3.414353e-7,4.593171e-6,Upregulated
YLR168C,0.7707752,0.01503224,0.0409323,Upregulated
YLR172C,1.086474,9.121867e-8,1.436399e-6,Upregulated
YLR176C,0.6658154,1.801851e-4,0.001018598,Upregulated
YLR192C,0.8134456,1.12421e-4,6.962334e-4,Upregulated
YLR194C,1.048893,0.002973502,0.01087666,Upregulated
YLR204W,1.030929,2.461339e-7,3.408955e-6,Upregulated
YLR216C,1.087628,0.001355267,0.005595525,Upregulated
YLR221C,0.6603243,0.01003964,0.02944252,Upregulated
YLR222C,0.7155369,0.002439937,0.009184051,Upregulated
YLR224W,1.161522,3.019047e-7,4.1159e-6,Upregulated
YLR239C,0.5706535,0.008924817,0.02671308,Upregulated
YLR244C,0.6908959,0.01740979,0.04610832,Upregulated
YLR255C,1.424385,9.460222e-7,1.104203e-5,Upregulated
YLR257W,0.5969337,0.006447887,0.02034874,Upregulated
YLR258W,1.240089,1.85896e-5,1.443121e-4,Upregulated
YLR259C,1.046864,1.560678e-5,1.231965e-4,Upregulated
YLR260W,0.9134,1.078286e-4,6.725769e-4,Upregulated
YLR263W,1.104538,1.55968e-7,2.301377e-6,Upregulated
YLR265C,0.6248972,0.01598206,0.04299986,Upregulated
YLR272C,0.9853031,1.257501e-5,1.02724e-4,Upregulated
YLR276C,0.9874809,2.982704e-4,0.001558885,Upregulated
YLR277C,0.8416396,2.458229e-7,3.408955e-6,Upregulated
YLR285C-A,0.9082847,4.642313e-4,0.002271757,Upregulated
YLR292C,0.7949979,2.812673e-6,2.851703e-5,Upregulated
YLR309C,0.5852043,7.961833e-6,6.931345e-5,Upregulated
YLR321C,0.5383421,0.01219227,0.03450985,Upregulated
YLR323C,1.043742,0.005108131,0.01691791,Upregulated
YLR326W,0.7853429,8.222803e-4,0.003671045,Upregulated
YLR335W,0.5786801,5.127275e-6,4.763051e-5,Upregulated
YLR336C,0.7101536,1.846107e-4,0.001038164,Upregulated
YLR343W,1.148129,6.707336e-5,4.491704e-4,Upregulated
YLR353W,1.062728,2.192263e-6,2.291535e-5,Upregulated
YLR363W-A,1.524946,1.347028e-5,1.091594e-4,Upregulated
YLR368W,0.6115339,5.513635e-4,0.002633236,Upregulated
YLR371W,0.5043071,0.001619722,0.006498083,Upregulated
YLR376C,0.6975345,0.00329764,0.01183414,Upregulated
YLR383W,1.030822,2.842857e-8,5.233017e-7,Upregulated
YLR394W,1.359585,2.282011e-9,5.411118e-8,Upregulated
YLR397C,0.541878,0.01014741,0.02965867,Upregulated
YLR399C,1.207616,3.62454e-14,2.481792e-12,Upregulated
YLR401C,0.7659847,0.004913871,0.01636346,Upregulated
YLR406C-A,1.002973,0.01554378,0.04213691,Upregulated
YLR407W,1.153349,5.40392e-5,3.721072e-4,Upregulated
YLR412C-A,1.186254,1.846949e-4,0.001038164,Upregulated
YLR414C,0.6992623,0.008086692,0.02463357,Upregulated
YLR418C,0.5754524,0.002153034,0.008251944,Upregulated
YLR427W,1.088409,1.247239e-11,5.205941e-10,Upregulated
YLR430W,0.9884742,1.842722e-7,2.661944e-6,Upregulated
YLR433C,0.6110124,0.001374353,0.005662817,Upregulated
YLR438C-A,0.8487285,0.002435617,0.009173454,Upregulated
YLR438W,0.8250355,6.749758e-4,0.003118501,Upregulated
YLR442C,0.6980801,4.671067e-6,4.379305e-5,Upregulated
YLR449W,0.87921,1.347697e-4,8.043944e-4,Upregulated
YLR451W,0.5425938,0.003310848,0.01186144,Upregulated
YLR455W,1.01567,5.122888e-7,6.503933e-6,Upregulated
YLR457C,0.6193036,0.008825199,0.02645389,Upregulated
YML007W,0.5093404,0.00573165,0.0185298,Upregulated
YML009C,1.710097,5.52083e-11,1.956043e-9,Upregulated
YML015C,0.990354,4.367559e-7,5.675033e-6,Upregulated
YML024W,0.7990118,0.008049619,0.02456403,Upregulated
YML048W,1.011894,4.363132e-7,5.675033e-6,Upregulated
YML049C,0.6225527,3.807093e-4,0.001921612,Upregulated
YML065W,0.8050455,1.548182e-5,1.225276e-4,Upregulated
YML071C,0.6814889,1.775266e-4,0.001008245,Upregulated
YML074C,0.5982812,0.001350446,0.005583187,Upregulated
YML081C-A,1.306988,5.986591e-4,0.002825893,Upregulated
YML085C,1.077591,1.410889e-4,8.371915e-4,Upregulated
YML097C,0.9382381,5.362441e-8,9.179414e-7,Upregulated
YML098W,0.5532202,0.005221699,0.01723783,Upregulated
YML102W,0.7096307,0.00823339,0.02497475,Upregulated
YML104C,0.5320297,0.01097708,0.03167346,Upregulated
YML109W,0.861211,9.610841e-6,8.157168e-5,Upregulated
YML114C,0.6089764,1.252958e-4,7.595975e-4,Upregulated
YML117W,0.8372855,2.380093e-6,2.462528e-5,Upregulated
YMR002W,0.9846311,0.008589363,0.02582318,Upregulated
YMR005W,1.333064,2.630599e-11,1.02762e-9,Upregulated
YMR011W,0.8660573,0.01164673,0.03330605,Upregulated
YMR014W,1.173445,4.458104e-6,4.225146e-5,Upregulated
YMR030W,1.059604,1.697715e-7,2.481026e-6,Upregulated
YMR030W-A,0.8098675,0.005573621,0.01810535,Upregulated
YMR035W,1.098321,0.00634383,0.02013505,Upregulated
YMR043W,0.8443839,0.006235422,0.01983229,Upregulated
YMR055C,1.228051,4.834235e-5,3.355333e-4,Upregulated
YMR056C,0.6455867,0.004648874,0.01569542,Upregulated
YMR059W,0.5119082,0.0189684,0.04944116,Upregulated
YMR068W,0.9032801,8.616846e-4,0.003821766,Upregulated
YMR076C,1.728078,2.873484e-9,6.683592e-8,Upregulated
YMR087W,0.6322292,8.222091e-4,0.003671045,Upregulated
YMR089C,0.7655438,4.132055e-7,5.426884e-6,Upregulated
YMR098C,0.9264264,2.266898e-7,3.205216e-6,Upregulated
YMR101C,2.08471,4.6039e-12,2.093744e-10,Upregulated
YMR111C,0.7543431,0.003310548,0.01186144,Upregulated
YMR115W,0.9789153,3.009566e-8,5.507596e-7,Upregulated
YMR117C,0.9816998,5.656117e-4,0.002693188,Upregulated
YMR118C,1.368782,0.00122234,0.005098563,Upregulated
YMR124W,0.7106,4.478111e-5,3.136929e-4,Upregulated
YMR127C,1.74433,3.999506e-8,7.085172e-7,Upregulated
YMR128W,1.01592,4.470446e-5,3.136929e-4,Upregulated
YMR136W,1.473544,2.367184e-6,2.453336e-5,Upregulated
YMR137C,0.5847578,0.01330745,0.0371147,Upregulated
YMR159C,0.7059686,0.003082329,0.01122756,Upregulated
YMR167W,0.5081631,0.01035155,0.03009655,Upregulated
YMR169C,3.05523,9.11287e-10,2.3937e-8,Upregulated
YMR170C,2.245716,3.462962e-7,4.648302e-6,Upregulated
YMR172W,0.6944911,0.004228607,0.01445268,Upregulated
YMR174C,0.966977,0.01536274,0.0417018,Upregulated
YMR175W-A,1.495338,0.00139145,0.005721656,Upregulated
YMR176W,0.6040398,6.285869e-5,4.242092e-4,Upregulated
YMR177W,0.8649624,1.69275e-4,9.676941e-4,Upregulated
YMR183C,0.5869812,0.00117466,0.004923232,Upregulated
YMR184W,0.7936609,4.756783e-4,0.002317173,Upregulated
YMR185W,0.7406413,1.38182e-4,8.223448e-4,Upregulated
YMR186W,0.8929093,2.050375e-8,3.916923e-7,Upregulated
YMR190C,0.8118319,3.135436e-5,2.288305e-4,Upregulated
YMR201C,0.7235278,0.001003968,0.004345297,Upregulated
YMR207C,0.8604498,3.693886e-6,3.611554e-5,Upregulated
YMR213W,0.5772094,0.008868207,0.02655668,Upregulated
YMR216C,0.5017287,0.003571979,0.01254619,Upregulated
YMR224C,1.098308,8.864261e-6,7.586911e-5,Upregulated
YMR225C,0.7212518,0.001662922,0.006649505,Upregulated
YMR227C,0.7404022,6.063518e-5,4.128612e-4,Upregulated
YMR229C,0.7788845,9.582133e-4,0.004176933,Upregulated
YMR230W-A,0.9032603,0.005705978,0.01846364,Upregulated
YMR232W,0.923026,2.552117e-4,0.001369067,Upregulated
YMR233W,0.9881977,7.435517e-6,6.576493e-5,Upregulated
YMR239C,0.5814811,0.0162492,0.0435839,Upregulated
YMR251W-A,1.359727,4.087231e-4,0.002031614,Upregulated
YMR256C,0.9865248,0.01245616,0.03515879,Upregulated
YMR257C,0.5053667,0.01206842,0.0342867,Upregulated
YMR273C,0.7300317,9.30048e-5,5.947233e-4,Upregulated
YMR277W,1.085164,1.143806e-5,9.470587e-5,Upregulated
YMR281W,0.912914,0.008434512,0.02544521,Upregulated
YMR287C,0.8747946,7.228203e-9,1.5137e-7,Upregulated
YMR288W,0.7931554,3.344066e-5,2.426041e-4,Upregulated
YMR290C,0.9186532,1.848388e-4,0.001038164,Upregulated
YMR295C,1.906573,5.409022e-23,9.98866e-21,Upregulated
YNCC0002W,11.43231,1.118873e-4,6.946242e-4,Upregulated
YNCC0005W,1.792645,0.003084494,0.01122874,Upregulated
YNCD0010C,1.806211,7.166962e-8,1.1585e-6,Upregulated
YNCD0026W,2.610945,0.001771427,0.007014343,Upregulated
YNCD0030W,1.007707,7.749443e-4,0.003500749,Upregulated
YNCE0011C,3.686191,8.53995e-9,1.758191e-7,Upregulated
YNCF0012C,1.791647,0.00308705,0.01123133,Upregulated
YNCG0026W,1.504836,7.361573e-5,4.823809e-4,Upregulated
YNCG0034W,1.081793,0.006678369,0.02099999,Upregulated
YNCG0039W,3.678658,0.00106707,0.00458261,Upregulated
YNCG0040C,2.884082,0.001530278,0.006212867,Upregulated
YNCG0044C,3.714198,1.15709e-9,2.925854e-8,Upregulated
YNCG0047C,1.592424,6.829066e-4,0.003150366,Upregulated
YNCG0048W,1.132742,3.494597e-4,0.001790046,Upregulated
YNCH0014W,1.115154,0.001012019,0.004373933,Upregulated
YNCI0001W,1.378508,3.348373e-13,1.943332e-11,Upregulated
YNCI0010C,22.00286,2.332171e-8,4.400077e-7,Upregulated
YNCI0013W,4.521079,2.939588e-13,1.722485e-11,Upregulated
YNCJ0003C,1.595284,5.432073e-6,5.015614e-5,Upregulated
YNCJ0019C,20.42436,1.991763e-10,6.019239e-9,Upregulated
YNCJ0024W,19.61531,1.737671e-7,2.527295e-6,Upregulated
YNCJ0028C,0.8486775,0.009775213,0.02877785,Upregulated
YNCK0004W,16.65031,1.094572e-5,9.112458e-5,Upregulated
YNCK0008W,1.133247,0.006205656,0.01976488,Upregulated
YNCK0009W,3.314388,3.095575e-9,7.0128e-8,Upregulated
YNCM0001W,0.681984,0.009506555,0.02811334,Upregulated
YNCM0005C,1.209105,0.001023942,0.004412943,Upregulated
YNCM0012W,1.52791,4.536899e-6,4.269301e-5,Upregulated
YNCM0013W,1.610113,2.084598e-5,1.587943e-4,Upregulated
YNCM0014W,1.107609,3.125408e-4,0.001625106,Upregulated
YNCM0016W,0.7042288,0.01471602,0.04026917,Upregulated
YNCM0017W,1.097316,6.889462e-5,4.583448e-4,Upregulated
YNCP0003W,1.769592,1.713345e-4,9.776335e-4,Upregulated
YNCP0007C,15.30828,3.436877e-5,2.481555e-4,Upregulated
YNL002C,0.6956363,0.003782156,0.01317055,Upregulated
YNL039W,0.9637205,1.727074e-9,4.226822e-8,Upregulated
YNL050C,0.6077501,0.002105465,0.008084878,Upregulated
YNL054W,0.6471671,8.055973e-4,0.003609787,Upregulated
YNL058C,1.773673,1.213967e-13,7.626718e-12,Upregulated
YNL061W,0.7683383,0.006650388,0.02093361,Upregulated
YNL068C,0.934432,2.115764e-6,2.22685e-5,Upregulated
YNL076W,0.5939289,0.001255137,0.005221029,Upregulated
YNL079C,0.6593157,1.475237e-4,8.644323e-4,Upregulated
YNL082W,0.5995983,0.01008892,0.02951603,Upregulated
YNL087W,0.7018734,1.514227e-5,1.207814e-4,Upregulated
YNL088W,1.102369,2.825502e-11,1.076163e-9,Upregulated
YNL091W,0.6808475,3.312655e-5,2.408988e-4,Upregulated
YNL102W,0.7478911,0.0109455,0.03162724,Upregulated
YNL103W,0.6667402,7.450353e-4,0.003386876,Upregulated
YNL113W,0.9481073,0.001851472,0.00728397,Upregulated
YNL125C,0.9770853,8.16229e-5,5.275687e-4,Upregulated
YNL133C,1.044953,1.548538e-8,2.995807e-7,Upregulated
YNL136W,0.5262739,0.003527934,0.01243362,Upregulated
YNL138W-A,0.7559084,0.01392632,0.03848844,Upregulated
YNL143C,1.379512,9.743592e-4,0.004229163,Upregulated
YNL144C,0.7108249,0.01472886,0.04027013,Upregulated
YNL149C,0.6489518,0.005439941,0.01775715,Upregulated
YNL151C,0.9152124,1.899951e-4,0.00106223,Upregulated
YNL157W,0.7492018,1.449829e-4,8.53648e-4,Upregulated
YNL165W,0.6499293,0.01203409,0.03422106,Upregulated
YNL175C,0.7653405,0.007147718,0.02225764,Upregulated
YNL177C,0.5032682,5.816988e-4,0.002759173,Upregulated
YNL181W,0.6559551,8.578582e-4,0.003810341,Upregulated
YNL185C,0.7461035,0.003990249,0.01375372,Upregulated
YNL186W,0.9599933,3.029436e-6,3.026456e-5,Upregulated
YNL195C,0.9036604,0.009507974,0.02811334,Upregulated
YNL199C,0.608316,0.002765549,0.01022029,Upregulated
YNL202W,0.8858535,0.01432486,0.03942895,Upregulated
YNL204C,0.8916396,0.004325361,0.01472556,Upregulated
YNL206C,0.5234359,0.01564822,0.04233279,Upregulated
YNL225C,0.7301542,2.701068e-4,0.001435075,Upregulated
YNL227C,1.495101,5.530947e-16,5.030685e-14,Upregulated
YNL230C,0.7878126,1.119332e-4,6.946242e-4,Upregulated
YNL232W,1.345084,7.493755e-9,1.563936e-7,Upregulated
YNL233W,0.6240745,0.0026192,0.009750399,Upregulated
YNL243W,0.5473538,0.004901052,0.01634757,Upregulated
YNL245C,1.257253,1.22531e-8,2.44821e-7,Upregulated
YNL252C,0.787094,6.795903e-5,4.53606e-4,Upregulated
YNL254C,0.6002215,8.824348e-4,0.003893959,Upregulated
YNL262W,0.9941141,7.900263e-6,6.887583e-5,Upregulated
YNL269W,1.468409,0.002112417,0.008106465,Upregulated
YNL270C,1.2913,3.808835e-4,0.001921612,Upregulated
YNL273W,0.7577195,5.227436e-5,3.603619e-4,Upregulated
YNL299W,1.146886,3.922418e-5,2.792431e-4,Upregulated
YNL304W,0.9719904,2.965252e-4,0.001551094,Upregulated
YNL306W,0.8691925,3.703329e-4,0.001879222,Upregulated
YNL308C,0.6928265,0.01464331,0.04012788,Upregulated
YNL312W,0.9911182,7.633894e-4,0.003453671,Upregulated
YNR012W,0.5865778,0.00703011,0.02193625,Upregulated
YNR022C,1.777875,4.059528e-28,1.1244890000000001e-25,Upregulated
YNR024W,0.7156745,2.692508e-4,0.001432082,Upregulated
YNR028W,0.8596243,5.705545e-4,0.002712137,Upregulated
YNR038W,2.165443,1.713857e-15,1.45059e-13,Upregulated
YNR039C,1.027085,3.73214e-6,3.638986e-5,Upregulated
YNR051C,0.6884297,6.415202e-4,0.003000325,Upregulated
YNR054C,0.6144188,0.01436507,0.03946832,Upregulated
YNR063W,0.5938771,0.01081031,0.03128111,Upregulated
YOL006C,0.644928,0.002198585,0.008400112,Upregulated
